순번,질문제목,제목글자수,제목잘림,작성일,답변수,분류,태그,질문 본문,답변 발췌,답변자,링크,제목 신규어(자동완성에 없음)
18,실업급여 사업장이 피해를 많이보는건가요,21,N,2026.08.18.,10,고용보험,,,실업급여 처음신청하려고하는데 1. 제가 근로계약기간이 끝나면 실업급여 신청이 가능한가요? 2. 사장님이 세금감면? 그거랑 제가 실업급여를 신청하게되면 사장님 소득이 더...,신천옹(cjro****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494781518&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"사업장이, 피해를, 많이보는건가요"
19,실업급여 수급중 단기알바,13,N,2026.08.19.,10,고용보험,,,안녕하세요 현재 실업급여 수급 3개월차인데 단기알바를 하고싶습니다 주2일로 하루 6시간씩(휴게시간 제외) 알바를 한다면 받고 있던 실업급여는 계속 받을 수 있을까요?...,청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494800811&answerNo=6&qb=7Iuk7JeF6riJ7Jes,수급중
20,실업급여 180일,9,N,2026.09.02.,10,고용보험,,,"실업급여 66048원씩 180일을 받게되면 총 얼마를 받을수있어요? 크레딧 신청하면 실업급여에서 빠져나가나요? 66,048원 × 180일 : 11,888,640원 아니요 실업급여에서...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494994706&answerNo=2&qb=7Iuk7JeF6riJ7Jes,180일
21,실업급여 금액,7,N,2026.03.11.,9,고용보험,,,얼마나 받을 수 잇나요? 170만원 정도 나올꺼에요,메치니코프(psyg****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=492417933&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
22,실업급여 4차,7,N,2026.08.25.,9,"고용, 노동",,,명함이 없으면 구직활동 인정이 안 되나요 ? ㅠㅠ 실업급여신청한다고 명함드렸는데 사업자번호랑 제 주민번호까지 작성해줘야하나요..??,,https://kin.naver.com/qna/detail.naver?dirId=608&docId=492448424&answerNo=10&qb=7Iuk7JeF6riJ7Jes,4차
23,실업급여란 무엇인가요?,12,N,2026.05.27.,9,고용보험,"검색질문, 통합검색궁금증, 통합검색질문하기",,검색어 실업급여란 무엇인가요?실업급여란 무엇인가요? 회사를 다니면서 급여에서 공제되는 고용보험이 180일이상 가입되어 비자발적 사유로 퇴사했을때 나라에서...,푸른바다(pref****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=493573151&answerNo=8&qb=7Iuk7JeF6riJ7Jes,무엇인가요
24,실업급여 문의요,8,N,2026.07.22.,9,고용보험,,,실업급여 문의 드립니다 회사에 퇴사 이유가 개인사정으로 인한 자진퇴사로 되어 있는데 실업급여 타먹을 방법이 없나요?? 알려주세요 급합니다 ㅠㅠ 이후 4대보험 모두...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494411618&answerNo=7&qb=7Iuk7JeF6riJ7Jes,문의요
25,실업급여 관련,7,N,2026.07.25.,9,고용보험,,,"24년도 11월 25일 입사, 퇴사 25년 2월 25년 5월 26일 입사 25년 9월 30일 퇴사 현재 7월 13일부터 2개월 계약직 근무 시작 이런 상태인데 계약 종료시에 실업급여 받을...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494455383&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
26,실업급여와 기간제 질문드립니다,16,N,2026.07.30.,9,고용보험,,,"학원 강사로 9개월 가량 주 25시간 정도 근무했는데요, 실업급여 신청 조건에는 맞나요? (계산해봤을 때 보험 가입일이 180일은 넘습니다.) 2. 실업급여 신청 하고 받는 도중에...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494526633&answerNo=8&qb=7Iuk7JeF6riJ7Jes,"실업급여와, 기간제, 질문드립니다"
27,1년 퇴직금과 실업급여 받을 수 있나요?,22,N,2026.08.06.,9,"고용, 고용복지","실업급여, 퇴직금, 퇴직금받을수있나요",,그리고 실업급여 신청하려면 어떤 서류를 회사에 요청하면 될런지요? 위와 같은 조건에서 실업급여는 몇개월이나 받을 수 있나요? [답변] 일단 실업급여는 자진퇴사가 아닌...,사오정핵잠(gsah****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494622980&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"1년, 퇴직금과, 받을"
28,실업급여 전 단기취업,11,N,2026.08.17.,9,"고용, 고용복지",,,지난 7월말로 계약만료로 퇴사했습니다 근무기간은 6년이었고 실업급여 자격을 갖췄으나 8/10 일자리가 나와서 취업을 했는데 저와 맞지를 않아 2주 일하고 그만두려합니다...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494760743&answerNo=8&qb=7Iuk7JeF6riJ7Jes,단기취업
29,실업급여 끝났는데 월세지원금 받을 수 있나,23,Y,2026.08.27.,9,고용보험,월세지원금,,저가 3월 23일 마지막으로 실업급여 받았고 4월 1일에 신청했어요 받을 수 있을가요? 안녕하세여 질문자분의 질문에 답변드립니다^;^ 질문자분께서 실업급여 신청하여 3월23일...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494919695&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"끝났는데, 월세지원금, 받을, 있나"
30,실업급여 개편,7,N,2026.09.03.,8,고용보험,,,"현쟈 실업급여를 수령중인데요, 26년 실업급여 하한액이 증가되었습니다. 25년 하한액 수령중이면 26년에 25년 기준으로 지급받나요 26년 준으로 지급받나요? 네....",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=491008271&answerNo=9&qb=7Iuk7JeF6riJ7Jes,개편
31,4시간일바실업급여,9,N,2026.06.24.,8,고용보험,,,4시간일해서 국민연금 고용보험 세금내면 실업급여받을수있나요? 일주일 15시간 이상 일하고 고용보험료 납부시 가입기간 180일. 이상시. 비자발적 퇴사시 실업급여...,산야로(hans****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494022335&answerNo=2&qb=7Iuk7JeF6riJ7Jes,4시간일바실업급여
32,이런 경우 질병으로 인한 자발적 실업급여 가,24,Y,2026.08.18.,8,고용보험,,,"이 경우 질병으로 인한 자발적 퇴사 사유로 실업급여 수급 인정 가능성이 있을까요? 신청은 바로 퇴사 후 하는 게 좋을까요? 의사 소견서나 진단서, 처방 내역이 있고...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494056295&answerNo=7&qb=7Iuk7JeF6riJ7Jes,"이런, 질병으로, 인한"
33,실업급여받을수있나요,10,N,2026.07.04.,8,고용안정,"검색질문, 통합검색궁금증, 통합검색질문하기",,계약직입니다.2025년6월1일입사2026년5월말퇴사시실업급여받을수있나요 계약기간 만료로 퇴사라면 실업급여 가능해요^^ 1년 근무면 피보험단위기간도 보통 충족했네요...,아정당 인테리어(sool****),https://kin.naver.com/qna/detail.naver?dirId=6080401&docId=494155356&answerNo=1&qb=7Iuk7JeF6riJ7Jes,실업급여받을수있나요
34,한달 계약직 실업급여,11,N,2026.07.09.,8,"고용, 고용복지",,,다음달 말일에 퇴사하면 실업급여 기준이 충족이 될까요? (근무일수 180일 넘었습니다.) 고용보험 가입했으면 180일 조건은 충족했고 다음달 퇴사가 본인이 원해서 퇴사하는...,종합도우미(boy8****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494231202&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
35,실업급여 보험미가입,10,N,2026.07.22.,8,고용보험,,,4대보험이 안들어가 있고 가게가 폐업해서 그만두게 되는데 피보험자격확인청구를 하면 사장님한테 피해가 가는게 있나요? 피해가 전혀 아니갈수는 없겠죠.. 본인 부담해야 할...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494412944&answerNo=5&qb=7Iuk7JeF6riJ7Jes,보험미가입
36,실업급여 신청 조건 문의합니다,16,N,2026.08.05.,8,고용보험,,,"이런 경우에도 실업급여 신청이 가능할까요? 시청은 상실일이 아직 없지만 8/11자로 계약 만료입니다 위에서부터 첫번째, 세번째는 계약만료이고 두번째, 네번째는...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494605266&answerNo=6&qb=7Iuk7JeF6riJ7Jes,문의합니다
37,실업크레딧 국민연금,10,N,2026.08.28.,8,국민연금보험,,,퇴사하고 실업급여 받게 되어서 실업크레딧 신청 해뒀는데 지역가입자 자격취득 신고서가 날아왔어요 납부예외 신청 안 해도 되는거죠? 다른 거 신청할거 없죠? 실업크레딧을...,,https://kin.naver.com/qna/detail.naver?dirId=6100402&docId=494642983&answerNo=9&qb=7Iuk7JeF6riJ7Jes,"실업크레딧, 국민연금"
38,자발적 퇴사후 실업급여,12,N,2026.08.18.,8,고용보험,,,원래직장 (4년5개월근무)(주5일 8시간) 26년8월14일 퇴사후 쉬다가 다음직장에서 계약직 1~2달일하고 계약 만료로 퇴사하면 실업급여대상이 되나요? 만약 된다면 원래직장퇴사후...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494683689&answerNo=8&qb=7Iuk7JeF6riJ7Jes,퇴사후
39,실업급여가능여부,8,N,2026.08.17.,8,고용보험,"검색질문, 통합검색궁금증, 통합검색질문하기",,"1960년12월31일생인데 2026년2월23일 입사해서12월31일 퇴사예정인데 실업급여 가능한가요 실업급여에 대한 설명과, 최근 자진퇴사 실업급여 제도에...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494689182&answerNo=8&qb=7Iuk7JeF6riJ7Jes,실업급여가능여부
40,퇴사 실업급여,7,N,2026.08.28.,8,고용보험,,,대해서는 실업급여를 신청할 수 없나요? 사실 연봉 부분에서도 면접 당시와 입사 후 연봉이 달랐습니다. 이 부분도 어려울까요? 단순히 회사가 부서를 변경했다는...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494730325&answerNo=5&qb=7Iuk7JeF6riJ7Jes,
41,한달 계약직 계약만료 후 실업급여 가능여부,23,N,2026.08.16.,8,고용보험,실업급여,,이러한 경우 전 직장 연계해서 실업급여 신청 및 실업급여 가능할 수 있을까요? 사람들마다 회사 퇴사한지 6개월이 넘어서 안된다고 하시는 분들도 있고 1년까지...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494762201&answerNo=6&qb=7Iuk7JeF6riJ7Jes,"계약만료, 가능여부"
42,실업급여 받을수있나요,11,N,2026.08.17.,8,고용보험,,,원래 회사랑 편도 60키로다니다가 반년전에 이사를 갔습니다 편도 220키로거리요 한 6개월다니다가 도저히 안되겠어서 퇴사하겠다고했는데요 이사먼거리가면 실업급여...,코웨이 이팀장(roya****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494769871&answerNo=3&qb=7Iuk7JeF6riJ7Jes,받을수있나요
43,실업급여 수급 기준 180일 채우려면 얼마나 근,26,Y,2026.08.19.,8,고용보험,"구직급여, 구직급여일액, 실업급여, 실업급여조건, 실업급여수급자격",,"계약직으로 입사할거같은데 계약 만료 후 실업급여 받으려면 계약 만료 날짜를 언제로 해야할까요?? 안녕하세요, 청소년청년근로권익센터입니다. 고용보험 피보험기간...",청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494798179&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"180일, 채우려면"
44,월급120만원 실업급여 궁금합니다,18,N,2026.08.22.,8,고용보험,"실업급여, 실업급여수급자격",,평일 5시간 최저시급 주 5일 근무중입니다 4대보험 가입중인데 급여는 월120만입니다 이런경우 실업급여 받을수있을까요? 받는다면 어떻게 계산하며 얼마 받을수있을까요...,오네시보(ajse****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494841857&answerNo=7&qb=7Iuk7JeF6riJ7Jes,"월급120만원, 궁금합니다"
45,실업급여 계약만료,9,N,2026.08.22.,8,고용보험,"실업급여, 실업급여조건, 실업급여계약만료",,"전 직장(자발적퇴사,건강상이유) 24년 5월 24일 ~ 26년 1월 31일 현 직장(곧 계약 만료) 26년 3월 2일 ~ 26년 9월 1일 곧 계약 만료로 실업급여를 알아보고 있습니다. 알아보니...",최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494845779&answerNo=5&qb=7Iuk7JeF6riJ7Jes,계약만료
46,실업급여 궁금해요,9,N,2026.08.23.,8,고용보험,"실업급여, 실업급여조건",,하루8시간 주5일 최저시급으로 급여 180만원(세전금액) 받고있어요 실업급여 받을수있나요? 받는다면 얼마를 받을수있을까요 ? 실업급여 계산은 어떻게하는건가요?...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494847484&answerNo=7&qb=7Iuk7JeF6riJ7Jes,
47,"계약만료 후 실업급여 신청, 재계약 거부가",23,Y,2026.08.26.,8,고용보험,"오늘숏텐츠, 실업급여, 계약만료, 재계약거부, 고용보험상담",,"계약만료로 퇴사한 경우, 실업급여 신청 시 재계약 제안이 있었는데도 제가 거부했다면, 이것이 실업급여 수급에 어떤 영향을 미치는지 알고 싶습니다. 회사에서 재계약을...",청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494898708&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"계약만료, 재계약, 거부가"
48,육아휴직 종료 후 실업급여 질문,17,N,2026.09.02.,8,고용보험,,,"육아휴직 종료 후 육아로 인한 퇴사 시 실업급여 수급 가능 여부가 궁금합니다. 현재 육아휴직 중이며, 육아휴직 종료 후 복직 예정입니다. 그런데 아이를 돌봐주실 수 있는...",라이프노트(sdw8****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494911781&answerNo=6&qb=7Iuk7JeF6riJ7Jes,"육아휴직, 종료"
49,실업급여 문의,7,N,2026.08.31.,8,고용보험,,,26년 1월 23일 입사 26년 8월 31일 퇴사 주 5일 근무 계약종료로 퇴사인데 실업급여 일수 충족 되는지 궁금합니당 가능성이 높습니다. 실업급여는 단순 재직기간이 아니라...,마징가(ac****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494949035&answerNo=6&qb=7Iuk7JeF6riJ7Jes,
50,무기 계약직 실업급여,11,N,2026.08.31.,8,고용보험,,,그러고 재계약 때 별 말도 없고 정규직 이야기도 없어서 퇴사를 하게 됬습니다 이사가 실업급여 받아야 하니까 계약종료로 적고 사직서 제출하면 된다고 해서 제출을 하고 계약...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494968136&answerNo=1&qb=7Iuk7JeF6riJ7Jes,무기
51,4대보험가입 급여 현금수령 실업급여 질문입,23,Y,2026.09.02.,8,고용보험,,,받으면 실업급여 받기가 힘든가요? 사장님 얘기로는 6개월이상 4대보험 가입되어있으면 실업급여 받을수 있다고 권고사직으로 신청해준다고 마치 선심.... 어쨋든 제가...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=495003102&answerNo=6&qb=7Iuk7JeF6riJ7Jes,"4대보험가입, 현금수령, 질문입"
52,실업급여 부정수급 신고를 고민 중입니다,21,N,2026.08.18.,7,고용보험,,,자발적 퇴사를 하면서도 권고사직 처리되어 실업급여 받는 경우가 많은데 부정수급으로 걸린 케이스는 누가 신고해서 걸리는 것 외에 고용보험측이 실업급여 신청인들...,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=483300315&answerNo=6&qb=7Iuk7JeF6riJ7Jes,"신고를, 중입니다"
53,실업 급여,5,N,2025.03.30.,7,"고용, 고용복지",,,8개월근무했습니다 회사안에서 일이잇어서 그만둬야할거같습니다 자발적으로 그만둬도 실업급여 받을수 잇나요? 아마 자발적퇴사는 못받아요ㅠ,,https://kin.naver.com/qna/detail.naver?dirId=60804&docId=483521009&answerNo=7&qb=7Iuk7JeF6riJ7Jes,
54,자발적 퇴사 실업급여,11,N,2026.08.18.,7,고용보험,"실업급여, 퇴사, 자발적퇴사, 자발적퇴사자실업급여",,실업급여를 받기 위해서는 비자발적 퇴사로 처리가 되어야한다고하는데 혹시 내일배움카드 수강을 위한 퇴사도 정당한 사유로 인정이 될까요? 퇴사하고 국비자격증을...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=486872097&answerNo=9&qb=7Iuk7JeF6riJ7Jes,
55,실업급여미신청,7,N,2025.12.26.,7,고용보험,"검색질문, 통합검색궁금증, 통합검색질문하기",,실업급여안타두되나요? 실업급여 신청요건되어도 안타도 됩니다. 신청요건이 갖추면 1년내 실업급여 신청가능합니다,웃음행복(dfwe****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=490998294&answerNo=1&qb=7Iuk7JeF6riJ7Jes,실업급여미신청
56,실업급여 180일 충족 되나요?,17,N,2026.04.03.,7,고용보험,,,25년 7월 18일 입사 26년 2월 28일 퇴사예정 일 경우 실업급여 180일 기간이 충족 되나요? 날짜상으로만 따지시면 충족됩니다.,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=491779235&answerNo=8&qb=7Iuk7JeF6riJ7Jes,"180일, 충족"
57,실업급여 안되죠?,9,N,2026.06.02.,7,고용보험,,,대학 현장실습때 회사에서 고용보험이 아니라 산재보험만 가입을 했다면 실업급여에 필요한 180일수에 포함되지 않는거죠?? 넵.!! 고용보험 미가입이라 피보험 단위일수에...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=493667577&answerNo=4&qb=7Iuk7JeF6riJ7Jes,안되죠
58,실업급여대상자 가능하나요,13,N,2026.06.21.,7,고용보험,,,지식iN 상담 공인노무사 신제철 입니다. 피보험단위기간 요건을 만족하더라도 이직사유가 자발적 이직은 실업급여 대상이 아닙니다. 신제철 : 네이버 엑스퍼트,공인노무사 신제철(cpla****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=493971079&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"실업급여대상자, 가능하나요"
59,실업급여 4차 구직활동 이력서 궁금증,20,N,2026.07.03.,7,기타,,,이력서에 사진 넣고 구직활동 해야 인정 되나여? 자기소개서도 다 작성 해야 되나요..? 이력서는 기본이고. 자기소개서 요청시 작성해서 첨부하시면 됩니다.,,https://kin.naver.com/qna/detail.naver?dirId=814&docId=494143635&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"4차, 이력서, 궁금증"
60,실업급여 관련문의,9,N,2026.09.02.,7,"고용, 고용복지",,,7월 마지막 급여수령을 받고 회사 상황때문에 권고사직예정인데 18개월이내기간 사대보험도 실업급여 신청할때 근무일수에 포함된다고 하더라구요!.. 25년 퇴사당시...,,https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494215890&answerNo=8&qb=7Iuk7JeF6riJ7Jes,관련문의
61,권고사직 실업급여,9,N,2026.07.14.,7,고용보험,,,"하게 된답니다 180일 일수 못채울 거 같은데 저는 권고사직,실업급여는 아예 해당이 안되는 걸까요? 네, 180일이 충족되지 않으면 권고사직 되어도 실업급여 대상이 아닙니다..",종합도우미(boy8****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494300052&answerNo=2&qb=7Iuk7JeF6riJ7Jes,권고사직
62,실업급여 받을 수 있는 날짜,15,N,2026.07.20.,7,고용보험,"노무사님도와주세요, 노무사, 실업급여, 실업급여조건",,월-금 주5일 근무 9시-6시 주말 공휴일 휴무일때 실업급여 수급자격은 몇일 부터 가능한가요? 설날도 공휴일도 잇엇어서 계산을 어케 하는건지 모르겠어서요 참고로...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494381054&answerNo=5&qb=7Iuk7JeF6riJ7Jes,받을
63,실업급여 피보험기간 180일 질문입니다,21,N,2026.07.21.,7,고용보험,,,1월5일부터 8월4일까지 근무이고 12시간씩 주 6일 일하였고 휴무가 한달에 5일 입니다. 이럴경우에 180일이 채워질까요? 1 먼저 고용보험에 가입을 해야 합니다 2...,친정오라버니(kkin****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494396348&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"180일, 질문입니다"
64,실업급여 질문,7,N,2026.07.27.,7,고용보험,"실업급여, 실업급여조건, 실업급여수급자격",,8월 1일로 계약 종료에요 사직원에는 개인사정으로 인한 퇴사라고 썻는데 이럼 실업급여 못 받나요 사직서 내용보다는 실제 계약만료로 최종 퇴사면 실업급여 가능하십니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494467833&answerNo=6&qb=7Iuk7JeF6riJ7Jes,
